AUTO.OL,BKW.SW,BMI,CGNX,CLH,CWST,CWY.AX,ECL,ENEL.MI,ENR.DE,FSLR,GF.SW,GFL,GXO,IBE.MC,KGX.DE,MANH,NEE,ORSTED.CO,SYM,TOM.OL,VIE.PA,VLTO,WM,XYL,ZBRA
,,155.15126037597656,39.94536209106445,170.63999938964844,84.68000030517578,2.6125853061676025,,6.096715450286865,11.885000228881836,172.16000366210938,,33.778480529785156,60.130001068115234,11.150640487670898,38.8277587890625,206.77000427246094,59.33890914916992,367.0,49.689998626708984,115.93386840820312,27.216665267944336,80.61871337890625,176.41612243652344,112.0816421508789,267.9800109863281
,143.79193115234375,150.91510009765625,38.63827896118164,162.05999755859375,81.9000015258789,2.564023971557617,,6.021290302276611,11.125,167.4199981689453,58.58626174926758,32.5203971862793,57.77000045776367,11.113080978393555,36.3179817199707,204.44000244140625,59.74369430541992,352.5,46.47999954223633,108.78050231933594,27.092082977294922,77.6634292602539,175.35531616210938,110.00112915039062,252.52000427246094
,145.6454315185547,152.05596923828125,37.82630157470703,165.64999389648438,81.13999938964844,2.564023971557617,,6.11034631729126,11.399999618530273,166.30999755859375,58.29235076904297,32.49044418334961,58.27000045776367,11.296186447143555,36.465614318847656,200.57000732421875,59.560577392578125,365.70001220703125,45.15999984741211,113.66452026367188,27.63833236694336,76.23055267333984,175.61068725585938,110.76036834716797,252.97000122070312
,147.5964813232422,147.93885803222656,37.47972106933594,164.6999969482422,81.02999877929688,2.5737364292144775,,6.080358028411865,11.524999618530273,166.8699951171875,57.94945526123047,32.260799407958984,58.9900016784668,11.300880432128906,36.3179817199707,199.3699951171875,59.8304328918457,375.0,43.38999938964844,114.0098648071289,27.647916793823242,76.51911926269531,174.60882568359375,110.5828857421875,252.69000244140625
,149.1573028564453,152.06588745117188,38.093658447265625,167.22999572753906,83.18000030517578,2.5737364292144775,,6.096715450286865,12.130000114440918,166.1300048828125,58.439308166503906,33.1094970703125,60.0099983215332,11.263320922851562,37.09552001953125,202.25,60.63998794555664,386.0,45.209999084472656,113.66452026367188,27.705415725708008,77.12610626220703,175.0704803466797,111.2730941772461,261.0899963378906
,149.44996643066406,149.15911865234375,38.469940185546875,166.63999938964844,83.41999816894531,2.564023971557617,,6.087627410888672,12.015000343322754,166.91000366210938,58.29235076904297,32.55035400390625,59.220001220703125,11.117193222045898,38.325801849365234,204.00999450683594,59.76296615600586,379.5,43.099998474121094,112.9738540649414,27.782081604003906,76.35990905761719,175.0606231689453,110.54344177246094,256.44000244140625
,148.86465454101562,150.14126586914062,38.83632278442383,167.9600067138672,83.27999877929688,2.525175094604492,,6.122159957885742,12.255000114440918,162.3300018310547,57.85148239135742,32.70012283325195,59.959999084472656,11.08376407623291,37.725425720214844,207.08999633789062,60.0231819152832,379.1000061035156,42.880001068115234,113.12185668945312,27.676664352416992,76.05146026611328,175.99374389648438,110.67161560058594,255.27000427246094
,147.98667907714844,149.51626586914062,38.70758819580078,166.7100067138672,84.02999877929688,2.5348873138427734,,6.06309175491333,12.010000228881836,160.2899932861328,58.24336624145508,32.64021682739258,59.380001068115234,11.002582550048828,37.61716079711914,207.10000610351562,58.51971435546875,381.79998779296875,42.7400016784668,113.31918334960938,27.350833892822266,75.70318603515625,176.03305053710938,110.10958099365234,255.02999877929688
,149.54751586914062,150.5182647705078,37.70747375488281,166.4199981689453,85.62000274658203,2.5057506561279297,,6.170322895050049,12.444999694824219,160.44000244140625,58.63524627685547,32.5803108215332,57.83000183105469,11.15062141418457,38.020694732666016,210.60000610351562,58.828121185302734,392.3999938964844,42.21500015258789,111.44451141357422,28.03125,75.384765625,178.1742706298828,110.16874694824219,248.8699951171875
,146.3282928466797,,,,,2.4814703464508057,,6.185771465301514,12.125,,57.70452880859375,,,11.141069412231445,37.60731887817383,,,394.79998779296875,,109.32317352294922,27.897083282470703,,,,
,144.4748077392578,150.04205322265625,37.64805603027344,164.11000061035156,83.62000274658203,2.466902017593384,,6.133973121643066,11.734999656677246,149.10000610351562,56.2349739074707,32.58330535888672,57.5099983215332,11.031234741210938,37.61716079711914,216.24000549316406,58.16312026977539,385.6000061035156,41.27000045776367,111.29651641845703,27.71500015258789,74.1807632446289,177.5554962158203,109.40950775146484,243.52000427246094
,143.30416870117188,148.0281524658203,36.85588455200195,164.33999633789062,84.0,2.4571895599365234,,6.030377388000488,11.329999923706055,147.25999450683594,55.402225494384766,32.4334716796875,55.66999816894531,10.935726165771484,36.86914825439453,216.55999755859375,56.15849304199219,375.79998779296875,40.43000030517578,106.21515655517578,27.22624969482422,75.50416564941406,178.24302673339844,108.15725708007812,239.1699981689453
,139.98741149902344,149.9130859375,37.75698471069336,165.77000427246094,84.16000366210938,2.428053140640259,,6.017655372619629,11.720000267028809,147.4499969482422,56.332942962646484,33.79194641113281,55.650001525878906,10.75903606414795,37.78447723388672,217.57000732421875,55.56095886230469,385.1000061035156,41.779998779296875,104.58715057373047,27.207082748413086,75.63352966308594,180.24676513671875,109.84336853027344,249.58999633789062
,139.40208435058594,150.52816772460938,37.27177429199219,169.77000427246094,84.55999755859375,2.389204263687134,,6.054004669189453,11.829999923706055,145.9199981689453,55.89207458496094,33.67207717895508,55.77000045776367,10.716056823730469,38.51280975341797,221.41000366210938,55.185089111328125,387.79998779296875,44.099998474121094,98.96312713623047,27.39875030517578,77.16590118408203,181.1700439453125,110.30679321289062,249.08999633789062
