Adj Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Dividends,Dividends,Dividends,Dividends,Dividends,Dividends,Dividends,Dividends,Dividends,Dividends,Dividends,Dividends,Dividends,Dividends,Dividends,Dividends,Dividends,Dividends,Dividends,Dividends,Dividends,Dividends,Dividends,Dividends,Dividends,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Stock Splits,Stock Splits,Stock Splits,Stock Splits,Stock Splits,Stock Splits,Stock Splits,Stock Splits,Stock Splits,Stock Splits,Stock Splits,Stock Splits,Stock Splits,Stock Splits,Stock Splits,Stock Splits,Stock Splits,Stock Splits,Stock Splits,Stock Splits,Stock Splits,Stock Splits,Stock Splits,Stock Splits,Stock Splits,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume
ZBRA,AUTO.OL,BKW.SW,BMI,CGNX,CLH,CWST,CWY.AX,ECL,ENEL.MI,ENR.DE,FSLR,GF.SW,GFL,GXO,IBE.MC,KGX.DE,MANH,NEE,ORSTED.CO,SYM,TOM.OL,VIE.PA,VLTO,WM,XYL,ZBRA,AUTO.OL,BKW.SW,BMI,CGNX,CLH,CWST,CWY.AX,ECL,ENEL.MI,ENR.DE,FSLR,GF.SW,GFL,GXO,IBE.MC,KGX.DE,MANH,NEE,ORSTED.CO,SYM,TOM.OL,VIE.PA,VLTO,WM,XYL,AUTO.OL,BKW.SW,BMI,CGNX,CLH,CWST,CWY.AX,ECL,ENEL.MI,ENR.DE,FSLR,GF.SW,GFL,GXO,IBE.MC,KGX.DE,MANH,NEE,ORSTED.CO,SYM,TOM.OL,VIE.PA,VLTO,WM,XYL,ZBRA,AUTO.OL,BKW.SW,BMI,CGNX,CLH,CWST,CWY.AX,ECL,ENEL.MI,ENR.DE,FSLR,GF.SW,GFL,GXO,IBE.MC,KGX.DE,MANH,NEE,ORSTED.CO,SYM,TOM.OL,VIE.PA,VLTO,WM,XYL,ZBRA,AUTO.OL,BKW.SW,BMI,CGNX,CLH,CWST,CWY.AX,ECL,ENEL.MI,ENR.DE,FSLR,GF.SW,GFL,GXO,IBE.MC,KGX.DE,MANH,NEE,ORSTED.CO,SYM,TOM.OL,VIE.PA,VLTO,WM,XYL,ZBRA,AUTO.OL,BKW.SW,BMI,CGNX,CLH,CWST,CWY.AX,ECL,ENEL.MI,ENR.DE,FSLR,GF.SW,GFL,GXO,IBE.MC,KGX.DE,MANH,NEE,ORSTED.CO,SYM,TOM.OL,VIE.PA,VLTO,WM,XYL,AUTO.OL,BKW.SW,BMI,CGNX,CLH,CWST,CWY.AX,ECL,ENEL.MI,ENR.DE,FSLR,GF.SW,GFL,GXO,IBE.MC,KGX.DE,MANH,NEE,ORSTED.CO,SYM,TOM.OL,VIE.PA,VLTO,WM,XYL,ZBRA
,,,61.286895751953125,53.59869384765625,85.0199966430664,45.959999084472656,1.8153609037399292,179.79583740234375,5.145772933959961,,57.2400016784668,,,,7.32966947555542,59.39667510986328,80.68000030517578,52.60525894165039,639.175537109375,,137.4190673828125,19.27680206298828,,104.74723052978516,75.0079116821289,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,61.60349803261501,53.72177965183663,86.30999755859375,46.25,1.8424558168905276,183.25508903512574,5.152908112533959,,57.2599983215332,,,,7.363058278912794,59.63987337020316,80.70999908447266,53.72076680880637,646.1210798105217,,137.4190673828125,19.38957982753194,,104.74723052978516,75.1018462702135,,,,59.013099433341054,52.43412277918275,82.4000015258789,45.2599983215332,1.806329266023063,179.4366902952106,5.05444489369145,,55.959999084472656,,,,7.301050176328864,57.4136697638063,79.44000244140625,52.457553686897995,635.6089302979508,,133.4082286884531,19.188192214357485,,103.16987662984626,73.98401248853229,,,,60.44261690377844,53.437734932685196,86.22000122070312,46.25,1.8334241791736614,183.0377086253029,5.11366531082505,,56.400001525878906,,,,7.320129709146568,57.4136697638063,80.13999938964844,53.34378857930713,643.6807276757322,,134.26770349039532,19.220413977495955,,104.62800752782033,74.35975800762037,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,221700.0,720400.0,604400.0,138700.0,3513324.0,1590500.0,20131289.0,,1053800.0,,,,11454601.0,133715.0,284400.0,7884800.0,340491.0,,434136.0,1129682.0,,2071700.0,869500.0,
,,63.317291259765625,61.27729415893555,52.992733001708984,85.27999877929688,46.83000183105469,1.8153609037399292,178.93572998046875,5.145059108734131,,57.02000045776367,44.35026168823242,,,7.296280860900879,58.79803466796875,80.44000244140625,52.98004150390625,635.7966918945312,,135.79563903808594,19.37346649169922,,105.76518249511719,75.44940185546875,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,63.85161304537253,61.39242557783582,53.35251668140475,85.81999969482422,47.08000183105469,1.8243925414567954,181.033948833594,5.161469814122483,,57.65999984741211,44.41766398946909,,,7.309000297059238,59.041232941082164,80.72000122070312,53.20931449734773,638.9878424569201,,137.32358457925795,19.37346649169922,,105.89357112565813,75.47758151138189,,,62.872021972714855,60.34667231182051,52.28262850136139,84.3499984741211,45.630001068115234,1.806329266023063,177.08323041072265,5.075135928841533,,56.709999084472656,43.81105013478597,,,7.246992192871599,58.36775803591087,79.44999694824219,52.499445185113025,632.2300276092009,,134.3631955575754,19.059304315056394,,103.72012302866275,73.92763593542098,,,63.673508048260274,60.45220395604423,52.65188226365762,84.3499984741211,45.68000030517578,1.8153609037399292,178.25522111173248,5.137210480920222,,57.11000061035156,44.41766398946909,,,7.274020899939708,58.92898951922987,79.44999694824219,52.60746994615571,637.673859502975,,136.65511386933343,19.13180327889705,,103.76597910956549,74.2376264839629,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,38194.0,211700.0,501000.0,259400.0,170500.0,3162815.0,1251100.0,23955338.0,,943700.0,222000.0,,,12836478.0,120500.0,331200.0,7097200.0,294193.0,,375230.0,1278025.0,,1424900.0,795100.0,
,,63.67350387573242,61.018253326416016,52.311031341552734,85.23999786376953,47.689998626708984,1.8334243297576904,177.41404724121094,5.155761241912842,,55.83000183105469,44.417667388916016,,,7.259712219238281,58.2368049621582,81.4000015258789,53.24459457397461,629.038818359375,,133.69471740722656,19.260690689086914,,106.31541442871094,74.96092987060547,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,63.851608861173446,61.39242494421194,52.78443434011882,85.7699966430664,47.75,1.851487606675008,178.90737099778454,5.171458496646528,,56.41999816894531,44.462601117104924,,,7.288331521531739,58.25551279746929,81.43000030517578,53.4826877282327,637.2983436086166,,135.31815034714361,19.325134213716584,,106.33375266203441,75.0924396955181,,,62.872017852708424,60.452203332124256,51.989117158056665,84.0199966430664,46.029998779296875,1.815361052840373,177.38567948360387,5.103675669896511,,54.779998779296875,43.56391284043197,,,7.2151938099911,57.394963153702534,79.43000030517578,53.002091352814865,629.038818359375,,132.7397551400321,19.099580283953774,,105.01318296643178,74.12490005505462,,,63.13918212513965,60.701651077321536,52.18794555062764,84.45999908447266,46.52000045776367,1.815361052840373,178.0000354095332,5.137210188299573,,56.0099983215332,43.90092094418433,,,7.2533521215684145,58.087142279669585,80.02999877929688,53.06381883385636,635.421176175307,,134.17219854082379,19.29291245140175,,105.09571551137029,75.01728917649717,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,35247.0,136900.0,949100.0,398100.0,238500.0,7261957.0,1294800.0,20570627.0,,1535100.0,303900.0,,,9389610.0,158951.0,402900.0,5518800.0,385408.0,,443118.0,1142428.0,,1840700.0,817300.0,
,,64.56404113769531,60.835968017578125,52.15008544921875,84.2300033569336,47.84000015258789,1.8334243297576904,177.1872100830078,5.158616065979004,,56.66999816894531,44.53000259399414,,,7.11820650100708,57.8065299987793,81.4000015258789,53.19829177856445,621.3424682617188,,130.829833984375,19.091524124145508,,106.38878631591797,74.67912292480469,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,65.09836287791198,61.25810557390456,52.53827583349454,84.91999816894531,48.310001373291016,1.8695508835923254,179.4839168624404,5.170031943461128,,57.310001373291016,45.0242804513121,,,7.251761718280301,58.89157369734867,82.16999816894531,53.396704401870664,631.2914335095743,,134.649683151802,19.37346612733776,,106.56302402890853,75.06426397992777,,,63.67350263924434,60.48098862567077,51.71455186713607,83.94999694824219,47.20000076293945,1.8243926912990318,176.10974003429138,5.137924660458638,,55.7599983215332,44.372732834150746,,,7.11820650100708,57.48850038289863,80.81999969482422,52.94697181349265,614.5846535242092,,130.73433192656205,19.075413243595033,,105.35249767011388,74.22822695377621,,,63.85160762122671,61.18135495450224,52.519339276727564,84.87999725341797,47.5099983215332,1.851487606675008,176.84695562436897,5.165037454534693,,55.7599983215332,44.44013513929038,,,7.246992214012216,58.161975286353496,81.31999969482422,53.061609993809896,628.8511385730386,,133.31274177182982,19.284857877869047,,105.94859173242193,75.06426397992777,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,62300.0,120800.0,734000.0,286000.0,233100.0,5083000.0,1556700.0,20205010.0,,974200.0,409040.0,,,24582731.0,189771.0,243100.0,6653200.0,429359.0,,635558.0,1256686.0,,2325500.0,662200.0,
,,65.45458221435547,61.46916961669922,52.58561325073242,82.80000305175781,47.400001525878906,1.8424557447433472,177.2533721923828,5.187155723571777,,56.70000076293945,44.12559127807617,,,7.142055988311768,57.07693862915039,82.5,53.17403793334961,605.3865356445312,,133.0262451171875,18.99485969543457,,106.45295715332031,74.9327392578125,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,65.45458221435547,61.920091809505,52.86018789486095,84.44999694824219,48.13999938964844,1.8424557447433472,178.47262340775168,5.2142688559047725,,57.11000061035156,44.32779818930985,,,7.161135522879845,57.843949164657595,83.13999938964844,53.55983630632111,626.2231069333388,,134.0766948553895,19.099580423724127,,106.81978472589068,75.48696534910188,,,64.2078269085614,60.75921090871254,51.66721015019569,82.7300033569336,47.2400016784668,1.8063291952905318,175.97742872313282,5.143632226020822,,56.15999984741211,43.81105176489966,,,7.08004788003916,56.55312278731309,81.41000366210938,53.12994736350327,603.8848245172653,,129.68387722264293,18.71291767955755,,106.08612958074994,74.3879159393597,,,64.74214866982463,60.75921090871254,51.86603857038032,83.72000122070312,47.93000030517578,1.8334241073801434,177.215572549182,5.159329141475917,,56.86000061035156,44.30532961198714,,,7.1102570167474015,57.245305568427476,81.55000305175781,53.27765262263068,611.0180383016897,,130.63883947822708,19.067358661173497,,106.47129538345453,74.8294162578239,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,42569.0,109100.0,878400.0,366100.0,156500.0,4316133.0,1185900.0,27509178.0,,725700.0,520400.0,,,30429993.0,147202.0,306700.0,5936000.0,1422811.0,,675858.0,1900237.0,,1824600.0,1083200.0,
,,66.87944793701172,60.979881286621094,53.08741760253906,84.23999786376953,47.790000915527344,1.9056771993637085,179.61622619628906,5.212127685546875,,56.70000076293945,44.30533218383789,,,7.153395652770996,57.133060455322266,83.22000122070312,53.5907096862793,606.137451171875,,127.86946105957031,19.13985824584961,,106.49880981445312,75.27091217041016,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.168,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,67.0575597347347,61.92969537601835,53.2389064336812,84.5199966430664,48.59000015258789,1.9147088366941065,179.852513599654,5.224257351068617,,58.040000915527344,44.61987514349668,,,7.211724995179922,57.67558052462381,83.6500015258789,53.75164517282941,610.6426422859679,,133.02626682414243,19.18819088721441,,107.40670966139504,75.6936284589488,,,65.8108043277553,60.93190803151916,52.55720488765225,82.91000366210938,47.2400016784668,1.860519012711719,177.60306732646995,5.194290422448762,,56.45000076293945,44.03572638143306,,,7.138813703466033,56.74019948390775,82.61000061035156,53.0263422173297,604.82346812718,,126.72350908018873,19.002914168423775,,106.41627728108799,74.82941900249999,,,65.8108043277553,61.900907031142566,53.01167499285731,83.05999755859375,47.33000183105469,1.869550650042117,177.60306732646995,5.210700786152782,,57.06999969482422,44.48507052818237,,,7.187420716212267,57.67558052462381,83.41000366210938,53.05279589121938,609.5163874724045,,131.30733156928505,19.051246809788577,,106.54466588631436,75.16758199988391,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,64725.0,223300.0,615600.0,395400.0,141600.0,4881863.0,1115600.0,24702588.0,,891700.0,259280.0,,,14049918.0,221696.0,324400.0,6958000.0,654730.0,,1298004.0,1419012.0,,1634200.0,797500.0,
,,66.34512329101562,60.45220184326172,52.23529052734375,82.83000183105469,47.31999969482422,1.9147089719772339,178.56715393066406,5.29203987121582,,56.5,44.28286361694336,,,7.278156757354736,56.87114715576172,83.19000244140625,53.69211196899414,612.70751953125,,125.10005950927734,19.615131378173828,,106.56301879882812,75.09245300292969,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,67.32471435659271,61.19094528608174,53.16316367880623,84.77999877929688,47.970001220703125,1.9418041012140441,180.07939945679806,5.331996116536519,,56.810001373291016,44.82207518015202,,,7.3186631262017885,57.67557688424172,83.81999969482422,53.94563527131402,613.8338315970071,,129.87487094092916,19.703741216031087,,106.89316297108287,76.02241754868517,,,66.16701829519073,60.03966041607971,52.055398669534576,82.72000122070312,47.029998779296875,1.9056773340087085,178.3686805387373,5.216408759233627,,55.83000183105469,44.1929927375929,,,7.169600245112838,56.49699763790255,82.69999694824219,53.6127475968418,606.8882882636809,,124.90906996632489,19.31707691826361,,106.19619816001634,74.81064209003446,,,66.79039257484794,60.93190509237768,53.106354012866085,84.30999755859375,47.77000045776367,1.9327724632455188,180.00378573830713,5.2214032473707155,,56.7400016784668,44.440133370527256,,,7.219827400792247,57.35754727860145,83.58999633789062,53.75163608908211,609.1409123951952,,127.58296728236351,19.333189391432832,,106.65473095518627,75.38365235730532,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,51898.0,134400.0,602600.0,226200.0,177500.0,5021575.0,828600.0,32141258.0,,829500.0,219120.0,,,19852386.0,173410.0,294400.0,5125600.0,610071.0,,1096378.0,2240222.0,,1289600.0,1361200.0,
,,67.59187316894531,60.95109558105469,53.53241729736328,83.04000091552734,48.709999084472656,1.8966457843780518,180.91111755371094,5.279911518096924,,57.439998626708984,44.32780075073242,,,7.291119575500488,57.039520263671875,83.95999908447266,54.320411682128906,619.08984375,,125.38655853271484,19.639299392700195,,107.90193176269531,76.3511962890625,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,67.76997815034183,61.411613935373005,53.55135385261278,83.08000183105469,48.7400016784668,1.9327725532660218,180.9678242313559,5.316300181385009,,58.349998474121094,44.57493797444487,,,7.32514465184795,57.039520263671875,84.58000183105469,54.4152096066867,625.2845311237639,,127.48747277270785,19.735964678706047,,108.2137306791393,76.37937594852272,,,66.43417040705938,60.46179986187898,52.08380152089538,82.23999786376953,47.5099983215332,1.8876141459888702,178.88849766060972,5.262073911369505,,56.599998474121094,43.855988025481004,,,7.231170079606272,56.141554911699004,83.04000091552734,53.58188535775992,608.3900229370394,,124.24060663558856,19.550687953635876,,106.70057118132888,75.23335535214291,,,66.52322289775765,60.53855048103506,52.41518582009356,82.77999877929688,47.5099983215332,1.9327725532660218,178.88849766060972,5.3084515527711735,,56.86000061035156,44.50753909502934,,,7.276537620664385,56.85244549624543,83.2699966430664,53.58188535775992,610.6425896566377,,124.62258574410767,19.735964678706047,,106.80144894762655,75.36487237420663,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,84861.0,136900.0,523500.0,167300.0,351200.0,5800368.0,645400.0,23287151.0,,1099500.0,290340.0,,,12868643.0,271433.0,274600.0,5879600.0,862530.0,,623056.0,1152112.0,,1340900.0,1264800.0,
,,73.20226287841797,61.71860885620117,53.636558532714844,81.66999816894531,49.400001525878906,1.8876140117645264,179.5406494140625,5.279911518096924,,58.779998779296875,44.417667388916016,,,7.317043304443359,57.525917053222656,83.87000274658203,54.61362075805664,623.7828369140625,,128.06044006347656,19.961517333984375,,108.2779312133789,76.43573760986328,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,73.91469640484725,61.84332903975029,54.195174187899504,83.05000305175781,50.369998931884766,1.9056772872584469,181.28916776494142,5.294181535434048,,59.099998474121094,44.53000342350013,,,7.317043304443359,57.582040561737244,84.27999877929688,54.62905430878166,624.1582933886415,,128.15592754293363,19.98568365394554,,108.50719760512374,77.03692752956862,,,71.42118585661441,60.50016241956398,53.276771260279446,81.48999786376953,48.52000045776367,1.8695507362706059,179.0680745481211,5.222831448748424,,57.29999923706055,43.631315146827184,,,7.244132756851015,56.45958476550326,82.80999755859375,54.18814185005686,615.7110382901486,,125.48203040149433,19.526520387565682,,107.62681550042221,76.09756738418538,,,73.91469640484725,60.74960644650679,53.58921534577429,82.72000122070312,48.83000183105469,1.9056772872584469,180.4763384186486,5.280624967930172,,57.5,44.39520223893342,,,7.299221086687266,57.05822833596331,83.68000030517578,54.282936414013044,619.8408303640579,,125.67303450354275,19.735963420787975,,107.92027620198938,76.28543654656237,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,217558.0,200800.0,928700.0,259700.0,379900.0,6230041.0,1212600.0,23995472.0,,997400.0,301720.0,,,17922055.0,213732.0,270100.0,8252800.0,420130.0,,587076.0,1931247.0,,1622400.0,1372400.0,
